Topic,Word,Score
0,virus,0.015
0,zika,0.015
0,new,0.009
0,women,0.007
0,reuters,0.007
0,infected,0.006
0,will,0.006
0,risk,0.006
0,last,0.006
0,14,0.006
0,health,0.006
0,investigating,0.006
0,tuesday,0.006
0,us,0.006
0,transmission,0.005
1,health,0.015
1,may,0.007
1,women,0.007
1,reuters,0.007
1,new,0.007
1,men,0.006
1,researchers,0.005
1,say,0.005
1,heart,0.005
1,sex,0.005
1,york,0.005
1,us,0.005
1,children,0.004
1,year,0.004
1,recently,0.004
2,new,0.011
2,two,0.008
2,found,0.008
2,virus,0.007
2,transmission,0.006
2,cases,0.006
2,liver,0.005
2,chocolate,0.005
2,confirmed,0.005
2,women,0.005
2,children,0.005
2,reuters,0.004
2,says,0.004
2,london,0.004
2,female,0.004
3,new,0.010
3,cancer,0.006
3,johnson,0.006
3,virus,0.006
3,may,0.005
3,might,0.005
3,study,0.005
3,children,0.005
3,program,0.005
3,family,0.005
3,developed,0.005
3,now,0.004
3,help,0.004
3,million,0.004
3,patients,0.004
