Topic,Word,Score
0,still,0.012
0,health,0.009
0,cancer,0.006
0,black,0.006
0,breast,0.006
0,can,0.006
0,obese,0.006
0,years,0.006
0,billion,0.006
0,states,0.006
0,united,0.006
0,brain,0.006
0,recent,0.006
0,doctors,0.006
0,adults,0.006
1,women,0.010
1,hiv,0.008
1,month,0.008
1,new,0.008
1,cancer,0.006
1,will,0.006
1,blood,0.006
1,study,0.006
1,identify,0.006
1,safe,0.006
1,help,0.006
1,time,0.006
1,hospital,0.004
1,infections,0.004
1,researchers,0.004
2,new,0.013
2,can,0.010
2,virus,0.009
2,right,0.008
2,health,0.007
2,zika,0.006
2,us,0.006
2,uses,0.006
2,care,0.006
2,women,0.006
2,vaccine,0.006
2,hpv,0.006
2,medical,0.004
2,active,0.004
2,will,0.004
3,may,0.018
3,percent,0.016
3,new,0.009
3,help,0.008
3,food,0.008
3,drug,0.008
3,health,0.007
3,first,0.006
3,people,0.006
3,rates,0.006
3,administration,0.006
3,public,0.006
3,impact,0.006
3,disclosure,0.006
3,study,0.006
