Topic,Word,Score
0,ones,0.017
0,reuters,0.012
0,young,0.012
0,due,0.012
0,said,0.012
0,women,0.012
0,food,0.012
0,amid,0.012
0,fight,0.012
0,debate,0.012
0,10th,0.012
0,presidential,0.012
0,republican,0.012
0,serviceoriented,0.012
0,scouts,0.012
1,receiving,0.015
1,prevention,0.015
1,london,0.009
1,drugs,0.009
1,drug,0.009
1,says,0.009
1,cancer,0.009
1,may,0.009
1,researchers,0.009
1,eylea,0.009
1,greater,0.009
1,bevacizumab,0.009
1,diabetic,0.009
1,edema,0.009
1,vision,0.009
2,virus,0.041
2,zika,0.040
2,cases,0.018
2,brazil,0.018
2,cdc,0.013
2,proteins,0.013
2,travel,0.009
2,yet,0.007
2,face,0.007
2,olympic,0.007
2,pregnant,0.007
2,without,0.007
2,athletes,0.007
2,microcephaly,0.007
2,concern,0.007
3,houston,0.019
3,children,0.019
3,study,0.013
3,new,0.013
3,will,0.013
3,navigate,0.013
3,try,0.013
3,cave,0.013
3,reality,0.013
3,university,0.013
3,help,0.013
3,heroin,0.013
3,addictions,0.013
3,addicts,0.013
3,headsets,0.013
