Topic,Word,Score
0,new,0.013
0,cancer,0.008
0,study,0.008
0,cells,0.007
0,health,0.007
0,increasingly,0.005
0,offers,0.005
0,may,0.005
0,depression,0.005
0,human,0.005
0,drug,0.005
0,men,0.005
0,york,0.005
0,immune,0.005
0,linked,0.005
1,reuters,0.011
1,health,0.008
1,zika,0.008
1,can,0.006
1,first,0.006
1,help,0.006
1,woman,0.006
1,uterus,0.006
1,transplant,0.006
1,surgeons,0.006
1,cleveland,0.006
1,performed,0.006
1,friday,0.006
1,virus,0.005
1,us,0.005
2,women,0.016
2,zika,0.016
2,virus,0.015
2,pregnant,0.013
2,new,0.011
2,states,0.010
2,reuters,0.009
2,united,0.009
2,two,0.008
2,months,0.008
2,disease,0.007
2,recent,0.006
2,study,0.006
2,infected,0.006
2,least,0.006
3,problems,0.006
3,study,0.006
3,health,0.006
3,ceo,0.006
3,season,0.006
3,weeks,0.005
3,abortion,0.005
3,kids,0.005
3,nutritious,0.005
3,1,0.005
3,us,0.005
3,new,0.004
3,women,0.003
3,california,0.003
3,high,0.003
